City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Bambous Virieux,MU,2022-08-01 00:59:59,-20.3428,57.7575,68.25,83,40,9.22,scattered clouds
150,Byron Bay,AU,2022-08-01 01:03:56,-28.65,153.6167,63.95,82,100,9.37,overcast clouds
151,Narsaq,GL,2022-08-01 01:04:10,60.9167,-46.05,48.42,86,99,2.86,overcast clouds
152,Warrnambool,AU,2022-08-01 01:04:10,-38.3833,142.4833,52.11,80,57,22.48,broken clouds
153,Ikot Ekpene,NG,2022-08-01 01:04:10,5.1794,7.7108,72.5,94,100,5.03,light rain
154,Natal,BR,2022-08-01 01:02:56,-5.795,-35.2094,75.85,100,40,3.44,scattered clouds
155,Butaritari,KI,2022-08-01 01:04:12,3.0707,172.7902,81.48,78,73,13.11,broken clouds
156,Marsa Matruh,EG,2022-08-01 01:04:12,31.3525,27.2453,77.4,83,2,12.03,clear sky
157,Ahipara,NZ,2022-08-01 01:04:12,-35.1667,173.1667,58.39,56,13,7.58,few clouds
158,Constitucion,CL,2022-08-01 01:03:13,-35.3333,-72.4167,48.88,90,100,3.98,overcast clouds
159,Iberia,US,2022-08-01 01:04:13,29.9502,-91.7507,84.27,74,0,8.05,clear sky
160,Kodinsk,RU,2022-08-01 01:04:13,58.6881,99.1844,71.29,75,100,4.79,overcast clouds
161,Bonthe,SL,2022-08-01 01:04:14,7.5264,-12.505,76.19,82,100,9.26,overcast clouds
162,Coahuayana,MX,2022-08-01 01:04:14,18.7333,-103.6833,83.73,74,55,4.0,broken clouds
163,Sungaipenuh,ID,2022-08-01 01:04:14,-2.0833,101.3833,68.54,92,100,1.21,overcast clouds
164,Saldanha,ZA,2022-08-01 01:02:24,-33.0117,17.9442,50.72,79,0,13.35,clear sky
165,Kavieng,PG,2022-08-01 00:59:29,-2.5744,150.7967,85.17,69,84,14.36,broken clouds
166,Vikersund,NO,2022-08-01 01:04:15,59.9659,9.995,59.49,99,99,1.88,overcast clouds
167,Abha,SA,2022-08-01 01:04:15,18.2164,42.5053,66.45,60,40,11.5,light rain
168,Akcakoca,TR,2022-08-01 01:04:15,41.0866,31.1162,70.07,90,0,3.89,clear sky
169,Olinda,BR,2022-08-01 01:04:16,-8.0089,-34.8553,78.53,73,75,10.36,broken clouds
170,Nome,US,2022-08-01 01:04:16,64.5011,-165.4064,58.15,77,100,10.36,overcast clouds
171,Cairns,AU,2022-08-01 01:03:10,-16.9167,145.7667,77.11,78,100,10.36,overcast clouds
172,Nova Olinda Do Norte,BR,2022-08-01 01:04:17,-3.8881,-59.0942,74.61,87,15,3.13,few clouds
173,Acapulco,MX,2022-08-01 01:00:15,16.8634,-99.8901,82.63,77,68,9.93,broken clouds
174,Pangnirtung,CA,2022-08-01 01:04:17,66.1451,-65.7125,48.27,82,100,1.39,overcast clouds
175,Sur,OM,2022-08-01 01:00:57,22.5667,59.5289,85.14,68,96,8.3,overcast clouds
176,Lata,PT,2022-08-01 01:04:17,40.1629,-8.3327,70.09,56,0,3.44,clear sky
177,Longyearbyen,SJ,2022-08-01 01:02:23,78.2186,15.6401,49.84,81,40,10.36,scattered clouds
178,Makakilo City,US,2022-08-01 01:04:18,21.3469,-158.0858,83.95,53,75,23.02,broken clouds
179,Barabai,ID,2022-08-01 01:04:18,-2.5833,115.3833,74.5,92,100,0.92,overcast clouds
180,Faro,PT,2022-08-01 01:04:19,37.0194,-7.9322,80.19,57,0,2.3,clear sky
181,Korla,CN,2022-08-01 01:04:19,41.7597,86.1469,78.3,40,30,14.67,scattered clouds
182,Jiuquan,CN,2022-08-01 01:02:26,39.7432,98.5174,75.72,37,47,6.49,scattered clouds
183,Oksovskiy,RU,2022-08-01 01:04:20,62.6062,39.8984,49.01,98,11,3.6,few clouds
184,Khatanga,RU,2022-08-01 01:04:20,71.9667,102.5,48.16,64,60,10.71,broken clouds
185,Ribeira Grande,PT,2022-08-01 00:59:57,38.5167,-28.7,73.76,76,19,5.32,few clouds
186,Magadan,RU,2022-08-01 01:04:20,59.5667,150.8,58.53,88,100,7.81,overcast clouds
187,Sayyan,YE,2022-08-01 01:04:21,15.1718,44.3244,59.99,73,56,3.83,broken clouds
188,Krasnoselkup,RU,2022-08-01 01:04:21,65.7,82.4667,48.11,64,0,23.94,clear sky
189,San Vicente,AR,2022-08-01 01:04:21,-26.6167,-54.1333,52.77,62,0,1.72,clear sky
190,Nouadhibou,MR,2022-08-01 01:04:22,20.931,-17.0347,70.95,91,0,10.31,clear sky
191,Price,US,2022-08-01 01:04:22,39.5994,-110.8107,88.12,32,100,16.11,overcast clouds
192,Jasper,US,2022-08-01 01:04:22,37.2001,-94.3502,86.9,62,20,10.36,few clouds
193,Livingston,GB,2022-08-01 01:04:23,55.9029,-3.5226,53.2,87,0,5.75,clear sky
194,Ostersund,SE,2022-08-01 01:01:10,63.1792,14.6357,59.45,88,100,5.75,overcast clouds
195,Ambulu,ID,2022-08-01 01:04:23,-8.345,113.6058,77.61,74,9,1.72,clear sky
196,Honningsvag,NO,2022-08-01 01:04:24,70.9821,25.9704,55.15,88,100,4.61,overcast clouds
197,Charters Towers,AU,2022-08-01 01:04:24,-20.1,146.2667,72.61,57,0,13.29,clear sky
198,Lebedyan,RU,2022-08-01 01:04:24,53.0194,39.1664,58.41,62,74,7.16,broken clouds
199,Tunggol,PH,2022-08-01 01:04:24,5.8446,121.1544,81.54,78,100,3.91,light rain
200,Lagoa,PT,2022-08-01 01:01:27,39.05,-27.9833,72.41,74,0,7.74,clear sky
201,Bukama,CD,2022-08-01 01:04:25,-9.2,25.85,72.07,43,1,3.44,clear sky
202,Thompson,CA,2022-08-01 01:02:47,55.7435,-97.8558,57.36,94,75,3.44,broken clouds
203,Saint George,US,2022-08-01 01:04:22,37.1041,-113.5841,89.64,48,0,8.05,clear sky
204,Katherine,AU,2022-08-01 01:03:25,-14.4667,132.2667,79.12,57,8,3.44,clear sky
205,Puerto Ayora,EC,2022-08-01 01:04:26,-0.7393,-90.3518,71.55,91,77,5.01,broken clouds
206,Pisco,PE,2022-08-01 01:04:26,-13.7,-76.2167,60.85,82,100,9.22,overcast clouds
207,Wanning,CN,2022-08-01 01:00:20,18.8003,110.3967,85.8,71,4,4.99,clear sky
208,Victoria,HK,2022-08-01 00:59:26,22.2855,114.1577,91.26,75,97,1.99,overcast clouds
209,Dieppe,FR,2022-08-01 01:02:40,49.75,1.1667,66.38,94,24,5.93,few clouds
210,Hithadhoo,MV,2022-08-01 01:04:27,-0.6,73.0833,80.73,74,100,16.35,overcast clouds
211,Bull Savanna,JM,2022-08-01 01:04:27,17.8868,-77.5902,80.4,70,2,12.75,clear sky
212,Gimbi,ET,2022-08-01 01:04:27,9.1667,35.8333,53.76,99,100,3.22,light rain
213,Gorom-Gorom,BF,2022-08-01 01:01:38,14.4439,-0.2361,80.33,63,86,15.48,overcast clouds
214,Cristinesti,RO,2022-08-01 01:04:28,48.1,26.3833,66.38,88,100,12.48,overcast clouds
215,West Wendover,US,2022-08-01 01:04:28,40.7391,-114.0733,97.81,11,0,9.22,clear sky
216,Iquitos,PE,2022-08-01 01:04:28,-3.7481,-73.2472,78.84,94,75,3.44,broken clouds
217,Tarnogskiy Gorodok,RU,2022-08-01 01:04:29,60.4997,43.5761,51.22,96,5,4.0,clear sky
218,Saint-Pierre,RE,2022-08-01 01:04:29,-21.3393,55.4781,67.68,64,0,8.05,clear sky
219,Benguela,AO,2022-08-01 01:04:29,-12.5763,13.4055,63.99,87,6,3.36,clear sky
220,Naze,JP,2022-08-01 01:04:30,28.3667,129.4833,80.78,83,100,20.76,overcast clouds
221,Khorixas,NA,2022-08-01 01:04:30,-20.3667,14.9667,41.4,95,18,3.36,few clouds
222,Port-Cartier,CA,2022-08-01 01:04:30,50.0334,-66.8654,64.74,86,99,4.65,overcast clouds
223,Kathmandu,NP,2022-08-01 01:01:29,27.7167,85.3167,70.02,94,75,0.0,broken clouds
224,Prince Rupert,CA,2022-08-01 01:02:00,54.3161,-130.3201,59.09,94,100,3.44,overcast clouds
225,Kaitangata,NZ,2022-08-01 01:04:31,-46.2817,169.8464,47.48,64,100,7.85,overcast clouds
