City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
93,Dhamtari,IN,2022-07-29 02:55:07,20.7072,81.5497,82.92,71,85,5.55,overcast clouds,0.0,0.0
94,Dayong,CN,2022-07-29 02:55:07,25.0209,118.2898,91.98,59,62,0.65,broken clouds,0.0,0.0
95,Niquero,CU,2022-07-29 02:55:08,20.0431,-77.5828,75.78,87,13,9.62,few clouds,0.0,0.0
96,Dingle,PH,2022-07-29 02:51:18,10.9995,122.6711,83.7,80,100,10.4,overcast clouds,0.0,0.0
97,Rikitea,PF,2022-07-29 02:50:56,-23.1203,-134.9692,73.29,74,9,20.67,light rain,0.0,0.0
98,Tuktoyaktuk,CA,2022-07-29 02:51:44,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds,0.0,0.0
99,Bairiki,KI,2022-07-29 02:53:35,1.3292,172.9752,86.0,70,40,12.66,light rain,0.0,0.0
100,Esperance,AU,2022-07-29 02:51:04,-33.8667,121.9,66.02,69,95,14.83,overcast clouds,0.0,0.0
101,Georgetown,MY,2022-07-29 02:45:57,5.4112,100.3354,87.89,77,20,6.91,few clouds,0.0,0.0
102,Yugorsk,RU,2022-07-29 02:55:09,61.3133,63.3319,68.11,48,1,2.33,clear sky,0.0,0.0
103,Nanortalik,GL,2022-07-29 02:53:20,60.1432,-45.2371,43.74,87,86,2.24,overcast clouds,0.0,0.0
104,Cidreira,BR,2022-07-29 02:51:43,-30.1811,-50.2056,55.56,89,100,18.21,overcast clouds,0.0,0.0
105,Tazovskiy,RU,2022-07-29 02:55:09,67.4667,78.7,57.9,82,67,7.47,broken clouds,0.0,0.0
106,Avarua,CK,2022-07-29 02:51:00,-21.2078,-159.775,78.85,73,40,20.71,scattered clouds,0.0,0.0
107,Beloha,MG,2022-07-29 02:52:45,-25.1667,45.05,62.94,82,0,11.9,clear sky,0.0,0.0
108,Puerto Padre,CU,2022-07-29 02:55:10,21.195,-76.6028,75.99,89,72,8.93,broken clouds,0.0,0.0
109,Upernavik,GL,2022-07-29 02:52:36,72.7868,-56.1549,41.61,73,93,6.64,overcast clouds,0.0,0.0
110,Semnan,IR,2022-07-29 02:55:10,35.5729,53.3971,80.44,50,40,6.91,light intensity shower rain,0.0,0.0
111,Cubuk,TR,2022-07-29 02:55:10,40.2386,33.0322,67.77,59,0,11.5,clear sky,0.0,0.0
